"longitude","latitude","temperature","ndvi","valid_observations"
-117.327492,33.988671,122.67,0.357,3
-117.327187,33.988671,122.59,0.315,3
-117.326883,33.988671,122.23,0.307,3
-117.326579,33.988671,121.74,0.277,3
-117.326275,33.988671,121.44,0.289,3
-117.32597,33.988671,121.49,0.413,3
-117.325666,33.988671,121.46,0.443,3
-117.325362,33.988671,121.84,0.332,3
-117.325058,33.988671,122.17,0.288,3
-117.324753,33.988671,122.71,0.306,3
-117.324449,33.988671,122.96,0.325,3
-117.324145,33.988671,123.01,0.31,3
-117.32384,33.988671,122.57,0.323,3
-117.323536,33.988671,122.1,0.35,3
-117.323232,33.988671,121.74,0.369,3
-117.322928,33.988671,121.65,0.404,3
-117.322623,33.988671,121.65,0.459,3
-117.322319,33.988671,121.48,0.512,3
-117.322015,33.988671,121.34,0.495,3
-117.321711,33.988671,121.26,0.34,3
-117.321406,33.988671,121.29,0.241,3
-117.321102,33.988671,121.38,0.234,3
-117.320798,33.988671,121.22,0.279,3
-117.320494,33.988671,121.02,0.368,3
-117.320189,33.988671,120.75,0.392,3
-117.319885,33.988671,120.52,0.432,3
-117.319581,33.988671,120.35,0.315,3
-117.319276,33.988671,120.26,0.218,3
-117.318972,33.988671,120.38,0.189,3
-117.318668,33.988671,120.75,0.184,3
-117.318364,33.988671,121.53,0.18,3
-117.318059,33.988671,122.97,0.173,3
-117.317755,33.988671,124.86,0.171,3
-117.317451,33.988671,126.55,0.175,3
-117.317147,33.988671,127.69,0.172,3
-117.316842,33.988671,128.43,0.172,3
-117.316538,33.988671,128.99,0.187,3
-117.316234,33.988671,129.42,0.21,3
-117.31593,33.988671,129.71,0.252,3
-117.315625,33.988671,129.84,0.257,3
-117.315321,33.988671,129.85,0.245,3
-117.315017,33.988671,129.66,0.299,3
-117.314712,33.988671,128.02,0.307,3
-117.314408,33.988671,127.12,0.366,3
-117.333881,33.988366,123.56,0.296,3
-117.333577,33.988366,124.14,0.287,3
-117.333273,33.988366,125.02,0.311,3
-117.332968,33.988366,126.28,0.324,3
-117.332664,33.988366,127.21,0.35,3
-117.33236,33.988366,127.44,0.3,3
-117.332056,33.988366,127.29,0.184,3
-117.331751,33.988366,126.81,0.168,3
-117.331447,33.988366,126.11,0.167,3
-117.331143,33.988366,125.12,0.132,3
-117.330839,33.988366,123.58,0.241,3
-117.330534,33.988366,122.56,0.315,3
-117.33023,33.988366,121.66,0.29,3
-117.329926,33.988366,120.53,0.368,3
-117.329622,33.988366,120.25,0.45,3
-117.329317,33.988366,120.54,0.365,3
-117.329013,33.988366,121.19,0.305,3
-117.328709,33.988366,121.45,0.301,3
-117.328404,33.988366,121.29,0.381,3
-117.3281,33.988366,121.64,0.45,3
-117.327796,33.988366,122.01,0.444,3
-117.327492,33.988366,122.11,0.399,3
-117.327187,33.988366,122.37,0.365,3
-117.326883,33.988366,122.52,0.359,3
-117.326579,33.988366,122.5,0.365,3
-117.326275,33.988366,122.4,0.324,3
-117.32597,33.988366,122.27,0.343,3
-117.325666,33.988366,122,0.442,3
-117.325362,33.988366,122.03,0.412,3
-117.325058,33.988366,122.12,0.33,3
-117.324753,33.988366,122.51,0.318,3
-117.324449,33.988366,122.74,0.309,3
-117.324145,33.988366,122.87,0.292,3
-117.32384,33.988366,122.51,0.29,3
-117.323536,33.988366,122.1,0.331,3
-117.323232,33.988366,121.84,0.347,3
-117.322928,33.988366,121.89,0.339,3
-117.322623,33.988366,122.05,0.35,3
-117.322319,33.988366,122.02,0.361,3
-117.322015,33.988366,122.01,0.35,3
-117.321711,33.988366,122.02,0.328,3
-117.321406,33.988366,122.11,0.267,3
-117.321102,33.988366,122.19,0.254,3
-117.320798,33.988366,121.91,0.244,3
-117.320494,33.988366,121.62,0.298,3
-117.320189,33.988366,121.23,0.389,3
-117.319885,33.988366,120.89,0.417,3
-117.319581,33.988366,120.59,0.31,3
-117.319276,33.988366,120.31,0.227,3
-117.318972,33.988366,120.28,0.198,3
-117.318668,33.988366,120.65,0.183,3
-117.318364,33.988366,121.57,0.174,3
-117.318059,33.988366,123.06,0.171,3
-117.317755,33.988366,124.85,0.172,3
-117.317451,33.988366,126.48,0.176,3
-117.317147,33.988366,127.74,0.186,3
-117.316842,33.988366,128.73,0.202,3
-117.316538,33.988366,129.45,0.233,3
-117.316234,33.988366,129.93,0.217,3
-117.31593,33.988366,130.12,0.218,3
-117.315625,33.988366,130.19,0.243,3
-117.315321,33.988366,130.19,0.255,3
-117.315017,33.988366,129.89,0.294,3
-117.314712,33.988366,128.56,0.261,3
-117.314408,33.988366,127.15,0.292,3
-117.335098,33.988062,123.08,0.29,3
-117.334794,33.988062,123.23,0.261,3
-117.33449,33.988062,123.58,0.252,3
-117.334186,33.988062,123.85,0.283,3
-117.333881,33.988062,124.21,0.328,3
-117.333577,33.988062,124.65,0.35,3
-117.333273,33.988062,125.21,0.324,3
-117.332968,33.988062,126.14,0.297,3
-117.332664,33.988062,126.95,0.284,3
-117.33236,33.988062,127.33,0.226,3
-117.332056,33.988062,127.42,0.175,3
-117.331751,33.988062,127.11,0.212,3
-117.331447,33.988062,126.38,0.22,3
-117.331143,33.988062,125.27,0.139,3
-117.330839,33.988062,123.61,0.156,3
-117.330534,33.988062,122.23,0.271,3
-117.33023,33.988062,120.83,0.315,3
-117.329926,33.988062,119.91,0.306,3
-117.329622,33.988062,119.49,0.31,3
-117.329317,33.988062,119.38,0.294,3
-117.329013,33.988062,119.75,0.266,3
-117.328709,33.988062,120.22,0.268,3
-117.328404,33.988062,120.4,0.326,3
-117.3281,33.988062,120.75,0.364,3
-117.327796,33.988062,121.13,0.384,3
-117.327492,33.988062,121.47,0.413,3
-117.327187,33.988062,122.1,0.407,3
-117.326883,33.988062,122.78,0.355,3
-117.326579,33.988062,123.19,0.318,3
-117.326275,33.988062,123.28,0.262,3
