"longitude","latitude","temperature","ndvi","valid_observations"
-117.232004,32.900241,97.2,0.161,4
-117.2317,32.900241,96.39,0.322,4
-117.231397,32.900241,95.67,0.465,4
-117.231093,32.900241,94.97,0.445,4
-117.230789,32.900241,93.89,0.482,4
-117.230485,32.900241,93.14,0.527,4
-117.230182,32.900241,92.82,0.455,4
-117.229878,32.900241,93.91,0.368,4
-117.229574,32.900241,95.09,0.352,4
-117.229271,32.900241,96.22,0.345,4
-117.228967,32.900241,97.09,0.295,4
-117.228663,32.900241,97.82,0.331,4
-117.22836,32.900241,98.42,0.357,4
-117.228056,32.900241,99.31,0.352,4
-117.2563,32.899937,72.31,-0.061,1
-117.252655,32.899937,87.68,0.143,1
-117.252352,32.899937,86.88,0.198,1
-117.252048,32.899937,86.55,0.377,1
-117.251744,32.899937,86.71,0.677,1
-117.251441,32.899937,87.66,0.725,1
-117.251137,32.899937,88.51,0.653,1
-117.250833,32.899937,88.46,0.704,1
-117.25053,32.899937,88.3,0.71,1
-117.250226,32.899937,88.09,0.731,1
-117.249922,32.899937,88.35,0.736,1
-117.249619,32.899937,88.71,0.712,1
-117.249315,32.899937,88.89,0.661,1
-117.249011,32.899937,89.57,0.557,1
-117.248707,32.899937,90.11,0.487,1
-117.248404,32.899937,89.18,0.522,1
-117.2481,32.899937,87.59,0.535,1
-117.247796,32.899937,85.65,0.542,1
-117.247493,32.899937,86.09,0.569,1
-117.247189,32.899937,87,0.618,1
-117.246885,32.899937,87.86,0.748,1
-117.246582,32.899937,88.52,0.749,1
-117.246278,32.899937,89.11,0.639,1
-117.245974,32.899937,88.3,0.529,1
-117.24567,32.899937,89.88,0.519,1
-117.245367,32.899937,90.35,0.634,1
-117.245063,32.899937,89.6,0.65,2
-117.244759,32.899937,89.81,0.627,2
-117.244456,32.899937,90.83,0.523,2
-117.244152,32.899937,92.14,0.401,2
-117.243848,32.899937,94.37,0.405,2
-117.243545,32.899937,96.57,0.39,2
-117.243241,32.899937,97.31,0.258,3
-117.242937,32.899937,97.08,0.245,3
-117.242633,32.899937,96.7,0.381,3
-117.24233,32.899937,96.29,0.447,3
-117.242026,32.899937,96.22,0.458,3
-117.241722,32.899937,96.24,0.321,4
-117.241419,32.899937,96.59,0.316,4
-117.241115,32.899937,96.61,0.185,4
-117.240811,32.899937,96.2,0.356,4
-117.240508,32.899937,95.64,0.404,4
-117.240204,32.899937,94.88,0.226,4
-117.2399,32.899937,93.96,0.183,4
-117.239596,32.899937,92.96,0.362,4
-117.239293,32.899937,91.98,0.506,4
-117.238989,32.899937,90.57,0.571,4
-117.238685,32.899937,89.87,0.616,4
-117.238382,32.899937,90.27,0.614,4
-117.238078,32.899937,91.39,0.477,4
-117.237774,32.899937,92.78,0.257,4
-117.237471,32.899937,94.13,0.118,4
-117.237167,32.899937,95.39,0.11,4
-117.236863,32.899937,96.36,0.15,4
-117.236559,32.899937,96.81,0.196,4
-117.236256,32.899937,96.47,0.293,4
-117.235952,32.899937,95.8,0.583,4
-117.235648,32.899937,95.59,0.508,4
-117.235345,32.899937,95.81,0.406,4
-117.235041,32.899937,95.97,0.386,4
-117.234737,32.899937,96.14,0.45,4
-117.234434,32.899937,96.23,0.489,4
-117.23413,32.899937,96.78,0.386,4
-117.233826,32.899937,97.86,0.324,4
-117.233522,32.899937,98.32,0.318,4
-117.233219,32.899937,98.11,0.301,4
-117.232915,32.899937,97.57,0.255,4
-117.232611,32.899937,97.06,0.176,4
-117.232308,32.899937,96.5,0.176,4
-117.232004,32.899937,95.66,0.316,4
-117.2317,32.899937,94.59,0.457,4
